date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:57	34056/34056	---M-Z	200	added ('OK')	text/html	etag:%22136029f-8508-5b613a5bfd640-gzip%22	https://www.caprin.pe/	D:/caprin/capri/www.caprin.pe/index.html	(from )
19:36:57	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Mar%202021%2000:36:57%20GMT	https://www.caprin.pe/robots.txt		(from )
19:36:58	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Mar%202021%2000:36:58%20GMT	https://www.caprin.pe/favicon.ico	D:/caprin/capri/www.caprin.pe/favicon.ico	(from https://www.caprin.pe/)
19:36:58	31000/31000	---M--	200	added ('OK')	text/css	etag:%2213602d7-7918-5444718dc2280%22	https://www.caprin.pe/lib/font-awesome/css/font-awesome.min.css	D:/caprin/capri/www.caprin.pe/lib/font-awesome/css/font-awesome.min.css	(from https://www.caprin.pe/)
19:36:59	121200/121200	---M--	200	added ('OK')	text/css	etag:%2213602ba-1d970-5387da708ea00%22	https://www.caprin.pe/lib/bootstrap/css/bootstrap.min.css	D:/caprin/capri/www.caprin.pe/lib/bootstrap/css/bootstrap.min.css	(from https://www.caprin.pe/)
19:36:59	17808/17808	---M--	200	added ('OK')	text/css	etag:%2213602a9-4590-5b61504c2d880%22	https://www.caprin.pe/css/style.css	D:/caprin/capri/www.caprin.pe/css/style.css	(from https://www.caprin.pe/)
19:36:59	52789/52789	---M--	200	added ('OK')	text/css	etag:%2213602cc-ce35-549ecc6349e80%22	https://www.caprin.pe/lib/animate-css/animate.min.css	D:/caprin/capri/www.caprin.pe/lib/animate-css/animate.min.css	(from https://www.caprin.pe/)
19:36:59	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	D:/caprin/capri/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://www.caprin.pe/)
19:37:00	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/caprin/capri/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.caprin.pe/)
19:37:01	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	D:/caprin/capri/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://www.caprin.pe/)
19:37:01	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	D:/caprin/capri/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://www.caprin.pe/)
19:37:02	69724/69724	---M--	200	added ('OK')	image/png	etag:%221360282-1105c-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v1-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v1-min.png	(from https://www.caprin.pe/)
19:37:02	73881/73881	---M--	200	added ('OK')	image/png	etag:%221360280-12099-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v2-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v2-min.png	(from https://www.caprin.pe/)
19:37:02	318033/318033	---M--	200	added ('OK')	image/png	etag:%22136028d-4da51-5b6126b55b980%22	https://www.caprin.pe/img/logo.png	D:/caprin/capri/www.caprin.pe/img/logo.png	(from https://www.caprin.pe/)
19:37:02	80105/80105	---M--	200	added ('OK')	image/png	etag:%221360277-138e9-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v3-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v3-min.png	(from https://www.caprin.pe/)
19:37:03	59177/59177	---M--	200	added ('OK')	image/png	etag:%22136022f-e729-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v4-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v4-min.png	(from https://www.caprin.pe/)
19:37:04	80178/80178	---M--	200	added ('OK')	image/png	etag:%2213601f0-13932-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v5-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v5-min.png	(from https://www.caprin.pe/)
19:37:04	74441/74441	---M--	200	added ('OK')	image/png	etag:%2213601ed-122c9-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v6-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v6-min.png	(from https://www.caprin.pe/)
19:37:04	73302/73302	---M--	200	added ('OK')	image/png	etag:%221360240-11e56-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v7-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v7-min.png	(from https://www.caprin.pe/)
19:37:04	67312/67312	---M--	200	added ('OK')	image/png	etag:%22136023b-106f0-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v8-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v8-min.png	(from https://www.caprin.pe/)
19:37:04	46627/46627	---M--	200	added ('OK')	image/png	etag:%221360285-b623-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v9-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v9-min.png	(from https://www.caprin.pe/)
19:37:04	80091/80091	---M--	200	added ('OK')	image/png	etag:%22136027a-138db-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v10-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v10-min.png	(from https://www.caprin.pe/)
19:37:05	52927/52927	---M--	200	added ('OK')	image/png	etag:%221360279-cebf-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v12-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v12-min.png	(from https://www.caprin.pe/)
19:37:05	46094/46094	---M--	200	added ('OK')	image/png	etag:%221360233-b40e-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v11-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v11-min.png	(from https://www.caprin.pe/)
19:37:05	46748/46748	---M--	200	added ('OK')	image/png	etag:%221360286-b69c-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v13-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v13-min.png	(from https://www.caprin.pe/)
19:37:05	59897/59897	---M--	200	added ('OK')	image/png	etag:%22136027b-e9f9-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v14-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v14-min.png	(from https://www.caprin.pe/)
19:37:05	64035/64035	---M--	200	added ('OK')	image/png	etag:%221360235-fa23-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v15-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v15-min.png	(from https://www.caprin.pe/)
19:37:06	43658/43658	---M--	200	added ('OK')	image/png	etag:%221360284-aa8a-5b6123184b300%22	https://www.caprin.pe/img/productos/a1-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a1-min.png	(from https://www.caprin.pe/)
19:37:06	50398/50398	---M--	200	added ('OK')	image/png	etag:%22136023e-c4de-5b61231c1bc00%22	https://www.caprin.pe/img/productos/v16-min.png	D:/caprin/capri/www.caprin.pe/img/productos/v16-min.png	(from https://www.caprin.pe/)
19:37:06	37702/37702	---M--	200	added ('OK')	image/png	etag:%2213601f4-9346-5b6123184b300%22	https://www.caprin.pe/img/productos/a3-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a3-min.png	(from https://www.caprin.pe/)
19:37:06	50205/50205	---M--	200	added ('OK')	image/png	etag:%221360276-c41d-5b6123184b300%22	https://www.caprin.pe/img/productos/a2-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a2-min.png	(from https://www.caprin.pe/)
